Ciudad,CCiudad,Genero,CGenero,Edad,CEdad,Escolaridad,CEscolaridad,Usos,CUsos
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,3,3,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,2,2,C,1
CDMX,1,F,1,A,2,1,1,C,1
CDMX,1,H,2,A,2,3,3,C,1
CDMX,1,H,2,A,2,3,3,C,1
CDMX,1,H,2,A,2,2,2,C,1
CDMX,1,H,2,A,2,2,2,C,1
CDMX,1,H,2,A,2,2,2,C,1
CDMX,1,H,2,A,2,2,2,C,1
CDMX,1,H,2,A,2,2,2,C,1
CDMX,1,H,2,A,2,1,1,C,1
CDMX,1,H,2,A,2,1,1,C,1
CDMX,1,H,2,A,2,1,1,C,1
CDMX,1,H,2,A,2,1,1,C,1
CDMX,1,H,2,A,2,1,1,C,1
CDMX,1,H,2,A,2,1,1,C,1
CDMX,1,H,2,A,2,1,1,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,3,3,C,1
CDMX,1,F,1,J,1,2,2,C,1
CDMX,1,F,1,J,1,2,2,C,1
CDMX,1,F,1,J,1,2,2,C,1
CDMX,1,F,1,J,1,2,2,C,1
